codigo,municipio,uf,ufTabela,populacao
4321204,Taquara,Rio Grande do Sul,riograndedosul,57466
3168309,Taquaraçu de Minas,Minas Gerais,minasgerais,4077
3553658,Taquaral,São Paulo,saopaulo,2811
5221007,Taquaral de Goiás,Goiás,goiais,3529
2709103,Taquarana,Alagoas,alagoas,19980
4321303,Taquari,Rio Grande do Sul,riograndedosul,26862
3553708,Taquaritinga,São Paulo,saopaulo,57177
2615003,Taquaritinga do Norte,Pernambuco,pernambuco,28775
3553807,Taquarituba,São Paulo,saopaulo,23218
3553856,Taquarivaí,São Paulo,saopaulo,5852
4321329,Taquaruçu do Sul,Rio Grande do Sul,riograndedosul,3072
5007976,Taquarussu,Mato Grosso do Sul,matogrossodosul,3588
3553906,Tarabai,São Paulo,saopaulo,7468
1200609,Tarauacá,Acre,acre,42567
2313252,Tarrafas,Ceará,ceara,8592
